Name,SMILES,PubChemID,CPE CLASS,IUPAC NAME,CAS,CAS (cactus),logKp,Reference,Total Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Polar Surface Area,Rotatable Bonds,Aromatic Rings,sp3-Atoms,Drug status,DRUGBANK,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8 (SCAFFOLD name),Scaffold SMILES
5‐aminolevulinic acid,C(CC(=O)O)C(=O)CN,137,AA,5-amino-4-oxopentanoic acid,106-60-5,106-60-5,-4.15,"Krishnan G, Roberts MS, Grice J, Anissimov YG, Benson HA. Enhanced transdermal delivery of 5‐aminolevulinic acid and a dipeptide by iontophoresis. Biopolymers. 2011;96(2):166‐171.",131.13,-3.0402,-0.49,4,2,80.39,4,0,5,approved,DB00855,,amine,alkyl-amine,,,basic nitrogen,acidic oxygen,,
L‐alanyl‐L‐tryptophan,CC(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)N,85362,AA,2-(2-aminopropanamido)-3-(1H-indol-3-yl)propanoic acid,16305-75-2,16305-75-2,-4.82,"Krishnan G, Roberts MS, Grice J, Anissimov YG, Benson HA. Enhanced transdermal delivery of 5‐aminolevulinic acid and a dipeptide by iontophoresis. Biopolymers. 2011;96(2):166‐171.",275.307,-2.0668,-2.211,6,4,108.21,5,2,6,,,amide,amine,alkyl-amine,,aromatic nitrogen,basic nitrogen,acidic oxygen,,c1ccc2[nH]ccc2c1
Glycine,C(C(=O)O)N,750,AA,2-aminoacetic acid,56-40-6,"32817-15-5,33242-26-1,52955-63-2,57678-19-0,63183-41-5,7490-95-1,87867-94-5,25718-94-9,56-40-6,17829-66-2",-4.9,"Ruland, A., & Kreuter, J. (1991). Transdermal permeability and skin accumulation of amino acids. International Journal of Pharmaceutics, 72(2), 149–155. doi:10.1016/0378-5173(91)90053-q ",75.0667,-3.3504,-0.027999999999999997,3,2,63.32,1,0,3,approved; nutraceutical; vet_approved,DB00145,,amine,alkyl-amine,,,basic nitrogen,acidic oxygen,,
Lysine,C(CCN)CC(C(=O)O)N,5962,AA,"2,6-diaminohexanoic acid",56-87-1,"70-54-2,56-87-1",-3.54,"Sznitowska M, Berner B, Maibach HI. In vitro permeation of human skin by multipolar ions. Int J Pharm. 1993;99(1):43‐49",146.189,-4.6792,-0.785,4,3,89.34,5,0,8,approved; nutraceutical,DB00123,,amine,alkyl-amine,,,basic nitrogen,acidic oxygen,,
Aspartic acid,C(C(C(=O)O)N)C(=O)O,424,AA,2-aminobutanedioic acid,619-45-4,"617-45-8,56-84-8,1783-96-6",-3.95,"Sznitowska M, Berner B, Maibach HI. In vitro permeation of human skin by multipolar ions. Int J Pharm. 1993;99(1):43‐49",133.10299999999998,-3.813,-0.151,5,3,100.62,3,0,5,approved; nutraceutical,DB00128,,amine,alkyl-amine,,,basic nitrogen,acidic oxygen,,
Polyornithine,C(CC(C(=O)O)N)CN,6262,AA,"2,5-diaminopentanoic acid",70-26-8,"70-26-8,7006-33-9,348-66-3,616-07-9",,"Kamiya, Y., Yamaki, T., Omori, S., Uchida, M., Ohtake, K., Kimura, M., ... & Natsume, H. (2018). Improved intranasal retentivity and transnasal absorption enhancement by PEGylated poly-L-ornithine. Pharmaceuticals, 11(1), 9.",132.162,-5.1336,-0.515,4,3,89.34,4,0,7,approved; nutraceutical,DB00129,,amine,alkyl-amine,,,basic nitrogen,acidic oxygen,,
Histidine,C1=C(NC=N1)CC(C(=O)O)N,6274,AA,2-amino-3-(1H-imidazol-5-yl)propanoic acid,71-00-1,"184709-11-3,4998-57-6,7006-35-1,71-00-1",-4.25,"Sznitowska M, Berner B, Maibach HI. In vitro permeation of human skin by multipolar ions. Int J Pharm. 1993;99(1):43‐49",155.156,-3.5054,-0.38,5,3,92.0,3,1,4,,,,amine,alkyl-amine,,aromatic nitrogen,basic nitrogen,acidic oxygen,,c1c[nH]cn1
7-Aminoheptanoic (7-AHE) acid,C(CCCN)CCC(=O)O,13580,AA,7-aminoheptanoic acid,929-17-9,929-17-9,,"Hrabálek, A., & Vávrová, K. (2015). Transkarbams: Transdermal Penetration-Enhancing Carbamates. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 309-323). Springer, Berlin, Heidelberg.",145.201,-1.0784,-1.3780000000000001,3,2,63.32,6,0,8,approved; investigational,DB00513,,amine,alkyl-amine,,,basic nitrogen,acidic oxygen,,
cis-3-Nonen-1-ol,CCCCCC=CCCO,5364631,ALCOHOL,non-3-en-1-ol,10340-23-5,NA,,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",142.241,2.9791,-2.1390000000000002,1,1,20.23,6,0,8,,,,,,,,,,,
Hexanol,CCCCCCO,8103,ALCOHOL,hexan-1-ol,111-27-3,"25917-35-5,111-27-3,220713-27-9",-1.66,"Bond, J.R. and Barry, B.W. (1988): Limitations of hairless mouse skin as a model for in vitro permeation studies through human skin: hydration damage. J. Invest. Dermatol., 90, 486‐489",102.176,1.8681,-1.557,1,1,20.23,4,0,7,approved; investigational,DB00632,,,,,,,,,
